,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,journey_month,journey_day,journey_dow,dep_hour,arr_hour,duration_mins,n_stops,has_meal,no_checkin,business_cls,red_eye,dep_period,is_weekend
113,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1 stop,No info,10348.0,5.0,18.0,5.0,7.0,22.0,925.0,1.0,0,0,0,0,Morning,1
114,Air India,2019-03-06,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 07 Mar,16h 5m,1 stop,No info,12677.0,3.0,6.0,2.0,17.0,9.0,965.0,1.0,0,0,0,0,Evening,0
115,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,15:25,01:35 04 Mar,10h 10m,1 stop,No info,15147.0,3.0,3.0,6.0,15.0,1.0,610.0,1.0,0,0,0,0,Afternoon,1
116,Vistara,2019-06-12,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668.0,6.0,12.0,2.0,7.0,9.0,160.0,0.0,0,0,0,0,Morning,0
117,Jet Airways,2019-05-09,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,15554.0,5.0,9.0,3.0,7.0,19.0,715.0,1.0,0,0,0,0,Morning,0
119,Air India,2019-05-03,Mumbai,Hyderabad,BOM → HYD,15:00,,1h 25m,non-stop,No info,3100.0,5.0,3.0,4.0,15.0,13.0,85.0,0.0,0,0,0,0,Afternoon,0
120,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,9663.0,5.0,6.0,0.0,20.0,10.0,845.0,1.0,1,0,0,0,Evening,0
122,IndiGo,2019-05-12,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540.0,5.0,12.0,6.0,5.0,7.0,145.0,0.0,0,0,0,0,Morning,1
123,Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10 22 May,23h 10m,2 stops,No info,10676.0,5.0,21.0,1.0,12.0,11.0,1390.0,2.0,0,0,0,0,Afternoon,0
125,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16h,1 stop,No info,14388.0,5.0,6.0,0.0,20.0,12.0,960.0,1.0,0,0,0,0,Evening,0
126,IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943.0,6.0,24.0,0.0,4.0,6.0,170.0,0.0,0,0,0,0,Night,0
127,IndiGo,,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,3597.0,5.0,12.0,3.0,14.0,17.0,140.0,0.0,0,0,0,0,Afternoon,0
129,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 16 Jun,16h 55m,1 stop,In-flight meal not included,10262.0,6.0,15.0,5.0,11.0,4.0,1015.0,1.0,1,0,0,0,Morning,1
130,Vistara,2019-05-12,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216.0,5.0,12.0,6.0,14.0,17.0,190.0,0.0,0,0,0,0,Afternoon,1
132,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 22 May,14h,1 stop,No info,14067.0,5.0,21.0,1.0,11.0,1.0,840.0,1.0,0,0,0,0,Morning,0
133,Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 19 May,23h 50m,2 stops,No info,15129.0,5.0,18.0,5.0,19.0,19.0,1430.0,2.0,0,0,0,0,Evening,1
134,Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 07 Jun,21h 40m,2 stops,No info,13376.0,6.0,6.0,3.0,6.0,4.0,1300.0,2.0,0,0,0,0,Morning,0
135,Air India,,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 28 Jun,21h 15m,2 stops,No info,10441.0,5.0,12.0,3.0,22.0,19.0,1275.0,2.0,0,0,0,0,Night,0
137,Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,No info,17024.0,3.0,3.0,6.0,8.0,18.0,650.0,1.0,0,0,0,0,Morning,1
138,Multiple carriers,2019-04-09,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 10 Apr,8h,1 stop,,13017.0,4.0,9.0,1.0,17.0,1.0,480.0,1.0,0,0,0,0,Evening,0
139,GoAir,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 07 Jun,8h 15m,1 stop,No info,6686.0,6.0,6.0,3.0,23.0,7.0,495.0,1.0,0,0,0,0,Night,0
140,IndiGo,2019-06-15,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5636.0,6.0,15.0,5.0,2.0,7.0,325.0,1.0,0,0,0,0,Night,1
141,IndiGo,2019-06-09,Delhi,Cochin,,07:35,16:10,8h 35m,1 stop,No info,6442.0,6.0,9.0,6.0,7.0,16.0,515.0,1.0,0,0,0,0,Morning,1
142,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,13:05,00:55 22 May,11h 50m,1 stop,No info,9486.0,5.0,21.0,1.0,13.0,0.0,710.0,1.0,0,0,0,0,Afternoon,0
143,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35 22 May,27h 35m,1 stop,In-flight meal not included,10844.0,5.0,21.0,1.0,20.0,23.0,1655.0,1.0,1,0,0,0,Evening,0
144,Jet Airways,2019-06-03,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25 04 Jun,8h 25m,2 stops,In-flight meal not included,15318.0,6.0,3.0,0.0,20.0,4.0,505.0,2.0,1,0,0,0,Evening,0
145,Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 04 Apr,20h 55m,1 stop,No info,5117.0,4.0,3.0,2.0,12.0,9.0,1255.0,1.0,0,0,0,0,Afternoon,0
147,Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,No info,7005.0,6.0,9.0,6.0,12.0,21.0,490.0,1.0,0,0,0,0,Afternoon,1
148,SpiceJet,2019-04-03,Kolkata,Banglore,CCU → BLR,22:20,00:40 04 Apr,2h 20m,non-stop,No info,3873.0,4.0,3.0,2.0,22.0,0.0,140.0,0.0,0,0,0,0,Night,0
